"locus_tag","confidence","p-value","PDB_ID","SCOP_ID"
"Rv0436c","MEDIUM",0.004,"1qsaA1","NULL"
"Rv0437c","HIGH",0.0006,"1gpr00","b.84.3.1"
"Rv0438c","CERT",7E-10,"1g8lA0","b.85.6.1"
"Rv0439c","CERT",1E-07,"1cydA0","c.2.1.2"
"Rv0440","CERT",5E-09,"1a6dA0","a.129.1.2"
"Rv0441c","LOW",0.046,"1a0i00","b.40.4.6"
"Rv0442c","HIGH",0.0003,"1ijqA0","b.68.5.1"
"Rv0443","MEDIUM",0.008,"1ivhA2","NULL"
"Rv0444c","LOW",0.014,"1boy00","b.1.2.1"
"Rv0445c","MEDIUM",0.002,"1a04A1","NULL"
"Rv0446c","LOW",0.036,"1d2zA0","a.77.1.2"
"Rv0447c","CERT",1E-07,"1fpxA0","a.4.5.29"
"Rv0448c","LOW",0.032,"2tct00","a.4.1.9"
"Rv0449c","CERT",5E-07,"1gosA0","c.3.1.2"
"Rv0450c","CERT",5E-05,"1bj4A0","c.67.1.4"
"Rv0451c","GUESS",0.22,"2mev10","b.121.4.1"
"Rv0452","CERT",5E-07,"2tct00","a.4.1.9"
"Rv0453","LOW",0.05,"1gceA0","e.3.1.1"
"Rv0454","LOW",0.083,"1cxlA0","NULL"
"Rv0455c","LOW",0.026,"1e0cA1","NULL"
"Rv0456c","CERT",2E-08,"1ef8A0","c.14.1.3"
"Rv0457c","CERT",3E-09,"1qfmA0","b.69.7.1"
"Rv0458","GUESS",0.131,"1qpoA2","NULL"
"Rv0459","LOW",0.04,"2sak00","d.15.5.1"
"Rv0460","LOW",0.055,"1gd8A0","d.188.1.1"
"Rv0461","LOW",0.019,"1a1vA1","NULL"
"Rv0462","CERT",4E-10,"1lvl00","c.3.1.5"
"Rv0463","LOW",0.069,"1jrmA0","d.206.1.1"
"Rv0464c","LOW",0.012,"2tct00","a.4.1.9"
"Rv0465c","MEDIUM",0.002,"1gewA0","c.67.1.1"
"Rv0466","LOW",0.089,"1qsmA0","d.108.1.1"
"Rv0467","CERT",2E-09,"1dquA0","c.1.12.7"
"Rv0468","CERT",6E-08,"1f0yA2","NULL"
"Rv0469","CERT",1E-07,"1fp2A2","NULL"
"Rv0470","CERT",9E-07,"1fp2A2","NULL"
"Rv0471c","LOW",0.039,"1fonA0","b.47.1.2"
"Rv0472c","CERT",5E-06,"2tct00","a.4.1.9"
"Rv0473","HIGH",0.0001,"2tct00","a.4.1.9"
"Rv0474","MEDIUM",0.009,"1lst00","c.94.1.1"
"Rv0475","HIGH",0.0003,"1c1gB0","NULL"
"Rv0476","LOW",0.02,"1fmtA1","NULL"
"Rv0477","GUESS",0.1,"1nbaA0","c.33.1.3"
"Rv0478","CERT",4E-08,"1jclB0","c.1.10.1"
"Rv0479c","LOW",0.051,"1qr4A2","NULL"
"Rv0480c","CERT",2E-07,"1k17A0","None"
"Rv0481c","LOW",0.047,"1bo4A0","d.108.1.1"
"Rv0482","CERT",1E-09,"2mbr00","d.145.1.2"
"Rv0483","MEDIUM",0.008,"2thiA0","c.94.1.1"
"Rv0484c","CERT",6E-09,"1cydA0","c.2.1.2"
"Rv0485","HIGH",0.0008,"1qtrA0","c.69.1.7"
"Rv0486","CERT",3E-09,"1f0kA0","c.87.1.2"
"Rv0487","LOW",0.034,"1f5mB0","d.110.2.1"
"Rv0488","LOW",0.014,"1cztA0","b.18.1.2"
"Rv0480c","CERT",8E-09,"1qhfA0","c.60.1.1"
"Rv0490","CERT",4E-08,"1gkxA0","a.29.5.1"
"Rv0491","CERT",2E-08,"1a04A0","a.4.6.2"
"Rv0492c","CERT",7E-09,"1gpeA1","NULL"
"Rv0493c","LOW",0.028,"2tct00","a.4.1.9"
"Rv0494","CERT",1E-07,"1e2xA0","a.4.5.6"
"Rv0495c","LOW",0.012,"1a5t02","NULL"
"Rv0496","LOW",0.046,"2tct00","a.4.1.9"
"Rv0497","MEDIUM",0.004,"1jusE0","a.4.1.9"
"Rv0498","LOW",0.038,"1f0xA0","d.58.32.2"
"Rv0499","HIGH",0.001,"1lucA0","c.1.16.1"
"Rv0500","CERT",2E-08,"2pgd00","a.100.1.1"
"Rv0501","CERT",1E-08,"1xel00","c.2.1.2"
"Rv0502","MEDIUM",0.002,"1vfrA0","d.90.1.1"
"Rv0503c","CERT",1E-06,"1fpqA0","a.4.5.29"
"Rv0504c","LOW",0.011,"1qs0B2","NULL"
"Rv0505c","CERT",3E-07,"1qq5A0","c.108.1.1"
"Rv0506","LOW",0.045,"1fngA1","NULL"
"Rv0507","MEDIUM",0.002,"1gca00","c.93.1.1"
"Rv0508","MEDIUM",0.004,"1qfnA0","c.47.1.1"
"Rv0509","CERT",2E-08,"1gpjA0","a.151.1.1"
"Rv0510","HIGH",0.0005,"1c3qA0","c.72.1.2"
"Rv0511","MEDIUM",0.005,"1gdhA2","NULL"
"Rv0512","HIGH",0.0003,"1qgxA0","e.7.1.1"
"Rv0513","LOW",0.026,"1d1dA0","a.28.3.1"
"Rv0514","LOW",0.078,"1a4400","b.17.1.1"
"Rv0515","MEDIUM",0.001,"1a5300","c.1.2.4"
"Rv0516c","LOW",0.013,"1a6cA1","NULL"
"Rv0517","MEDIUM",0.006,"1al300","c.94.1.1"
"Rv0518","LOW",0.014,"2scuA0","c.2.1.8"
"Rv0519c","CERT",1E-06,"1qfmA2","NULL"
"Rv0520","MEDIUM",0.002,"1j4fA0","None"
"Rv0521","LOW",0.078,"1utg00","a.101.1.1"
"Rv0522","HIGH",0.0005,"1e32A2","NULL"
"Rv0523c","LOW",0.061,"2scuA0","c.2.1.8"
"Rv0524","CERT",7E-10,"1dtyA0","c.67.1.4"
"Rv0525","CERT",3E-07,"1bif02","NULL"
"Rv0526","CERT",4E-06,"1eejA0","c.47.1.9"
"Rv0527","MEDIUM",0.005,"1js6A0","c.67.1.6"
"Rv0528","MEDIUM",0.01,"1fohA5","NULL"
"Rv0529","LOW",0.061,"1a7s00","b.47.1.2"
"Rv0530","CERT",1E-07,"1ihuA2","NULL"
"Rv0531","LOW",0.025,"1dvbA1","NULL"
"Rv0532","MEDIUM",0.001,"1qsaA0","a.118.5.1"
"Rv0533c","CERT",1E-09,"1bi5A0","c.95.1.2"
"Rv0534c","LOW",0.084,"1bjaA0","a.4.5.9"
"Rv0535","CERT",1E-08,"1ecpA0","c.56.2.1"
"Rv0536","CERT",1E-08,"1qrrA0","c.2.1.2"
"Rv0537c","MEDIUM",0.004,"1ebmA1","NULL"
"Rv0538","MEDIUM",0.003,"2nadA0","c.2.1.4"
"Rv0539","CERT",2E-06,"1qg8A0","c.68.1.1"
"Rv0540","MEDIUM",0.002,"1fwrA0","c.1.10.1"
"Rv0541c","MEDIUM",0.005,"1al300","c.94.1.1"
"Rv0542c","CERT",3E-09,"1amuA0","e.23.1.1"
"Rv0543c","HIGH",0.0008,"1mpyA1","NULL"
"Rv0544c","GUESS",0.104,"1edqA3","NULL"
"Rv0545c","LOW",0.023,"1pvdA1","NULL"
"Rv0546c","CERT",4E-06,"1mpyA1","NULL"
"Rv0547c","CERT",5E-08,"1cydA0","c.2.1.2"
"Rv0548c","CERT",1E-08,"1ef8A0","c.14.1.3"
"Rv0549c","MEDIUM",0.003,"1mla01","NULL"
"Rv0550c","MEDIUM",0.007,"2tct00","a.4.1.9"
"Rv0551c","CERT",9E-10,"1amuA0","e.23.1.1"
"Rv0552","CERT",2E-07,"1a4mA0","c.1.9.1"
"Rv0553","CERT",4E-09,"1mucA0","c.1.11.2"
"Rv0554","CERT",1E-08,"1bn6A0","c.69.1.8"
"Rv0555","CERT",2E-09,"1bfd00","c.31.1.3"
"Rv0556","LOW",0.012,"1qhfA0","c.60.1.1"
"Rv0557","CERT",2E-09,"1f0kA0","c.87.1.2"
"Rv0558","CERT",1E-07,"1fp2A2","NULL"
"Rv0559c","GUESS",0.16,"1js6A0","c.67.1.6"
"Rv0560c","CERT",2E-07,"1vid00","c.66.1.1"
"Rv0561c","CERT",8E-07,"1fohA5","NULL"
"Rv0562","CERT",5E-09,"1uby00","a.128.1.1"
"Rv0563","MEDIUM",0.002,"1bj4A0","c.67.1.4"
"Rv0564c","CERT",3E-08,"2pgd00","a.100.1.1"
"Rv0565c","CERT",3E-07,"1vdc00","c.3.1.5"
"Rv0566c","LOW",0.016,"1dvpA0","a.118.9.2"
"Rv0567","CERT",1E-09,"1fpxA0","a.4.5.29"
"Rv0568","CERT",6E-09,"1dt6A0","a.104.1.1"
"Rv0569","LOW",0.012,"1mucA2","NULL"
"Rv0570","HIGH",0.0006,"1a04A0","a.4.6.2"
"Rv0571c","CERT",5E-07,"1qtrA0","c.69.1.7"
"Rv0572c","LOW",0.084,"1qtrA0","c.69.1.7"
"Rv0573c","HIGH",0.0003,"1fwrA0","c.1.10.1"
"Rv0574c","CERT",1E-08,"1ush00","d.114.1.1"
"Rv0575c","CERT",7E-08,"1fohA0","c.3.1.2"
"Rv0576","HIGH",0.0001,"1qbjA0","a.4.5.19"
"Rv0577","CERT",8E-07,"1mpyA0","d.32.1.3"
"Rv0578c","HIGH",0.0001,"1vsgA0","h.4.1.1"
"Rv0579","MEDIUM",0.007,"1jsxA0","c.66.1.20"
"Rv0580c","GUESS",0.11,"1c3qA0","c.72.1.2"
"Rv0581","LOW",0.049,"1dxy02","NULL"
"Rv0582","LOW",0.026,"1qu9A0","d.79.1.1"
"Rv0583c","GUESS",0.265,"1a0fA2","NULL"
"Rv0584","LOW",0.013,"1cwvA0","b.1.14.1"
"Rv0585c","HIGH",0.0008,"1vsgA0","h.4.1.1"
"Rv0586","CERT",2E-08,"1e2xA0","a.4.5.6"
"Rv0587","LOW",0.013,"1qgxA0","e.7.1.1"
"Rv0588","LOW",0.01,"1a0tP0","f.4.3.2"
"Rv0589","MEDIUM",0.009,"1ee9A0","c.2.1.7"
"Rv0590","LOW",0.053,"1fvkA0","c.47.1.13"
"Rv0591","HIGH",0.0001,"1qu7A0","h.4.5.1"
"Rv0592","LOW",0.05,"1f13A2","NULL"
"Rv0593","LOW",0.01,"1gkxA0","a.29.5.1"
"Rv0594","HIGH",0.0005,"1qu7A0","h.4.5.1"
"Rv0595c","MEDIUM",0.01,"1aisB2","NULL"
"Rv0596c","LOW",0.011,"1a4iA2","NULL"
"Rv0597c","MEDIUM",0.003,"1ihuA1","NULL"
"Rv0598c","MEDIUM",0.002,"1a2oA1","NULL"
"Rv0599c","LOW",0.034,"1dxy02","NULL"
"Rv0600c","CERT",2E-06,"1gkxA0","a.29.5.1"
"Rv0601c","MEDIUM",0.001,"1gkxA0","a.29.5.1"
"Rv0602c","CERT",2E-07,"1a04A0","a.4.6.2"
"Rv0603","GUESS",0.121,"1qfhA1","NULL"
"Rv0604","MEDIUM",0.001,"1bi5A0","c.95.1.2"
"Rv0605","HIGH",0.0001,"2rslA0","c.53.1.1"
"Rv0606","MEDIUM",0.001,"1ivhA2","NULL"
"Rv0607","LOW",0.031,"1a3c00","c.61.1.1"
"Rv0608","LOW",0.028,"1vpwA1","NULL"
"Rv0609","HIGH",0.0006,"1fwrA0","c.1.10.1"
"Rv0610c","HIGH",0.0004,"1fpqA0","a.4.5.29"
"Rv0611c","MEDIUM",0.007,"1al300","c.94.1.1"
"Rv0612","HIGH",0.0008,"2tct00","a.4.1.9"
"Rv0613c","HIGH",0.0002,"1ihgA1","NULL"
"Rv0614","GUESS",0.358,"1gatA0","g.39.1.1"
"Rv0615","LOW",0.064,"1gd8A0","d.188.1.1"
"Rv0616c","GUESS",0.178,"1bnkA0","b.46.1.2"
"Rv0617","LOW",0.017,"1fwrA0","c.1.10.1"
"Rv0618","GUESS",0.109,"1gpl00","b.12.1.2"
"Rv0619","HIGH",0.0008,"2tct00","a.4.1.9"
"Rv0620","CERT",2E-09,"1fwlB0","NULL"
"Rv0621","LOW",0.013,"1al300","c.94.1.1"
"Rv0622","LOW",0.034,"1qfoA0","b.1.1.1"
"Rv0623","LOW",0.015,"1dxy02","NULL"
"Rv0624","MEDIUM",0.005,"1bykA0","c.93.1.1"
"Rv0625c","HIGH",0.0001,"1bi5A0","c.95.1.2"
"Rv0626","GUESS",0.16,"1qba04","NULL"
"Rv0627","MEDIUM",0.003,"1f5mB0","d.110.2.1"
"Rv0628c","MEDIUM",0.007,"1ubpC0","b.92.1.1"
"Rv0629c","HIGH",0.0002,"1a1vA1","NULL"
"Rv0630c","CERT",2E-05,"1gc5A0","c.72.1.3"
"Rv0631c","MEDIUM",0.001,"2tct00","a.4.1.9"
"Rv0632c","CERT",7E-09,"1ef8A0","c.14.1.3"
"Rv0633c","GUESS",0.197,"1d2pA4","NULL"
"Rv0634c","CERT",4E-08,"1qh5A0","d.157.1.2"
"Rv0635","LOW",0.046,"1fnmA4","NULL"
"Rv0636","MEDIUM",0.007,"1f00I1","NULL"
"Rv0637","LOW",0.026,"1drmA0","d.110.3.2"
"Rv0638","LOW",0.025,"1c3qA0","c.72.1.2"
"Rv0639","LOW",0.011,"1mjhA0","c.26.2.4"
"Rv0640","CERT",2E-07,"1mmsA0","a.4.7.1"
"Rv0641","HIGH",0.0007,"2tpsA0","c.1.3.1"
"Rv0642c","CERT",2E-06,"1fp2A2","NULL"
"Rv0643c","CERT",4E-07,"1fpxA0","a.4.5.29"
"Rv0644c","CERT",1E-06,"1dusA0","c.66.1.4"
"Rv0645c","CERT",2E-06,"1fp2A2","NULL"
"Rv0646c","CERT",5E-09,"1c4xA0","c.69.1.10"
"Rv0647c","HIGH",0.0002,"1fpqA0","a.4.5.29"
"Rv0648","HIGH",0.0008,"1c3qA0","c.72.1.2"
"Rv0649","LOW",0.012,"1msk00","d.173.1.1"
"Rv0650","MEDIUM",0.001,"1j79A0","c.1.9.4"
"Rv0651","MEDIUM",0.002,"1gcuA1","NULL"
"Rv0652","MEDIUM",0.006,"1c0aA2","NULL"
"Rv0653c","CERT",9E-07,"1jusE0","a.4.1.9"
"Rv0654","MEDIUM",0.008,"1fohA0","c.3.1.2"
"Rv0655","CERT",7E-08,"1gajA0","c.37.1.12"
"Rv0656c","LOW",0.05,"1pymA0","c.1.12.7"
"Rv0657c","GUESS",0.124,"1qaxA1","NULL"
"Rv0658c","HIGH",0.0008,"1gajA0","c.37.1.12"
"Rv0659c","GUESS",0.137,"1dmlA2","NULL"
"Rv0660c","LOW",0.033,"1bi000","a.4.5.24"
"Rv0661c","MEDIUM",0.006,"1uxy01","NULL"
"Rv0662c","LOW",0.011,"1bi000","a.4.5.24"
"Rv0663","CERT",3E-08,"1fsu00","c.76.1.2"
"Rv0664","GUESS",0.172,"1dnyA0","a.28.1.2"
"Rv0665","MEDIUM",0.008,"1fwrA0","c.1.10.1"
"Rv0666","GUESS",0.551,"1bi5A0","c.95.1.2"
"Rv0667","LOW",0.031,"1dqrA0","c.80.1.2"
"Rv0668","HIGH",0.0003,"1a4iA0","c.2.1.7"
"Rv0669c","MEDIUM",0.005,"1fohA0","c.3.1.2"
"Rv0670","CERT",4E-07,"1qumA0","c.1.15.1"
"Rv0671","CERT",6E-07,"1dqyA0","c.69.1.3"
"Rv0672","CERT",2E-08,"1is2A0","a.29.3.2"
"Rv0673","CERT",2E-08,"1ef8A0","c.14.1.3"
"Rv0674","HIGH",0.0001,"1bi000","a.4.5.24"
"Rv0675","CERT",6E-09,"1ef8A0","c.14.1.3"
"Rv0676c","MEDIUM",0.002,"2pgi00","c.80.1.2"
"Rv0677c","GUESS",0.19,"1alq00","e.3.1.1"
"Rv0678","HIGH",0.0002,"1bi000","a.4.5.24"
"Rv0679c","LOW",0.027,"1gpeA1","NULL"
"Rv0680c","LOW",0.065,"1umuA0","b.87.1.1"
"Rv0681","CERT",3E-07,"2tct00","a.4.1.9"
"Rv0682","LOW",0.075,"1prtF0","b.40.2.1"
"Rv0683","LOW",0.046,"1e2xA0","a.4.5.6"
"Rv0684","CERT",1E-06,"1efcA0","b.43.3.1"
"Rv0685","CERT",8E-10,"1efcA0","b.43.3.1"
"Rv0686","MEDIUM",0.006,"1e2xA0","a.4.5.6"
"Rv0687","CERT",7E-09,"1cydA0","c.2.1.2"
"Rv0688","CERT",1E-09,"1lvl00","c.3.1.5"
"Rv0689c","GUESS",0.169,"1jt8A0","b.40.4.5"
"Rv0690c","MEDIUM",0.009,"1d2nA0","c.37.1.20"
"Rv0691c","CERT",2E-06,"1jusE0","a.4.1.9"
"Rv0692","GUESS",0.121,"1bi5A1","NULL"
"Rv0693","LOW",0.091,"1ghj00","b.84.1.1"
"Rv0694","CERT",1E-09,"1gox00","c.1.4.1"
"Rv0695","MEDIUM",0.004,"1qrrA0","c.2.1.2"
"Rv0696","CERT",9E-08,"1foaA0","c.68.1.10"
"Rv0697","CERT",1E-09,"1gpeA0","c.3.1.2"
"Rv0698","GUESS",0.169,"1drmA0","d.110.3.2"
"Rv0699","GUESS",0.393,"1agg00","g.3.6.2"
"Rv0700","LOW",0.043,"1a3c00","c.61.1.1"
"Rv0701","GUESS",0.136,"1c1dA1","NULL"
"Rv0702","CERT",8E-06,"1j5aK0","NULL"
"Rv0703","GUESS",0.147,"1gdhA0","c.2.1.4"
"Rv0704","GUESS",0.185,"1qfqB0","j.9.5.1"
"Rv0705","LOW",0.093,"1ignA1","NULL"
"Rv0706","MEDIUM",0.002,"1a3wA3","NULL"
"Rv0707","MEDIUM",0.003,"3chy00","c.23.1.1"
"Rv0708","GUESS",0.123,"1qf6A0","c.51.1.1"
"Rv0709","LOW",0.081,"2yhx00","i.12.1.1"
"Rv0710","LOW",0.076,"1ihrA0","d.212.1.2"
"Rv0711","CERT",3E-08,"1fsu00","c.76.1.2"
"Rv0712","GUESS",0.141,"1glqA2","NULL"
"Rv0713","GUESS",0.145,"1qba01","NULL"
"Rv0714","CERT",7E-07,"1whi00","b.39.1.1"
"Rv0715","LOW",0.04,"1d1nA0","b.43.3.1"
"Rv0716","CERT",2E-08,"1iq4A0","NULL"
"Rv0717","GUESS",0.16,"1ii5A0","c.94.1.1"
"Rv0718","LOW",0.011,"1jb7A2","NULL"
"Rv0719","MEDIUM",0.004,"1a65A1","NULL"
"Rv0720","HIGH",0.0003,"1ilyA0","c.55.4.1"
"Rv0721","MEDIUM",0.001,"1ec7A2","NULL"
"Rv0722","GUESS",0.17,"1a3200","a.16.1.2"
"Rv0723","LOW",0.044,"1g8kA1","NULL"
"Rv0724","CERT",1E-05,"1dubA0","c.14.1.3"
"Rv0725c","MEDIUM",0.003,"1al300","c.94.1.1"
"Rv0726c","HIGH",0.0004,"1e2xA0","a.4.5.6"
"Rv0727c","CERT",1E-07,"1jdiA0","c.74.1.1"
"Rv0728c","CERT",7E-10,"1gdhA0","c.2.1.4"
"Rv0729","CERT",2E-09,"1glcG0","c.55.1.4"
"Rv0730","HIGH",0.0009,"1qsmA0","d.108.1.1"
"Rv0731c","HIGH",0.0005,"1e2xA0","a.4.5.6"
"Rv0732","LOW",0.052,"2if100","d.64.1.1"
"Rv0733","CERT",1E-08,"3aky01","NULL"
"Rv0734","CERT",5E-09,"1c24A0","d.127.1.1"
"Rv0735","HIGH",0.0004,"2tct00","a.4.1.9"
"Rv0736","LOW",0.012,"1a5t01","NULL"
"Rv0737","HIGH",0.0003,"1bi000","a.4.5.24"
"Rv0738","MEDIUM",0.002,"1bfd02","NULL"
"Rv0739","MEDIUM",0.007,"1cx8B0","a.48.2.1"
"Rv0740","LOW",0.022,"1ge8A2","NULL"
"Rv0741","GUESS",0.508,"1fwxA2","NULL"
"Rv0742","LOW",0.027,"1k14A0","None"
"Rv0743c","LOW",0.027,"1al300","c.94.1.1"
"Rv0744c","LOW",0.094,"1jbgA0","a.6.1.3"
"Rv0745","GUESS",0.309,"1c3d00","a.102.4.4"
"Rv0746","HIGH",0.0007,"2tbvA0","b.121.4.7"
"Rv0747","HIGH",0.0007,"1io1A0","e.32.1.1"
"Rv0748","LOW",0.019,"1gdhA2","NULL"
"Rv0749","HIGH",0.0009,"1fr9A0","c.68.1.8"
"Rv0750","GUESS",0.364,"1qftA0","b.60.1.1"
"Rv0751c","CERT",2E-08,"2pgd00","a.100.1.1"
"Rv0752c","CERT",8E-09,"1ivhA2","NULL"
"Rv0753c","HIGH",0.0002,"1gca00","c.93.1.1"
"Rv0754","CERT",4E-08,"1bif00","c.37.1.7"
"Rv0755c","HIGH",0.0004,"1a6cA0","b.121.4.2"
"Rv0756c","LOW",0.013,"1fpqA0","a.4.5.29"
"Rv0757","CERT",2E-07,"1a04A0","a.4.6.2"
"Rv0758","CERT",1E-07,"1gkxA0","a.29.5.1"
"Rv0759c","LOW",0.015,"1mpyA1","NULL"
"Rv0760c","GUESS",0.151,"1a81A2","NULL"
"Rv0761c","CERT",1E-09,"2ohxA0","b.35.1.2"
"Rv0762c","GUESS",0.149,"1fnoA0","c.56.5.4"
"Rv0763c","MEDIUM",0.007,"1fxd00","d.58.1.4"
"Rv0764c","CERT",7E-10,"1dt6A0","a.104.1.1"
"Rv0765c","CERT",1E-08,"1cydA0","c.2.1.2"
"Rv0766c","CERT",1E-09,"1dt6A0","a.104.1.1"
"Rv0767c","CERT",2E-06,"2tct00","a.4.1.9"
"Rv0768","HIGH",0.0001,"1jx6A0","c.93.1.1"
"Rv0769","CERT",5E-09,"1cydA0","c.2.1.2"
"Rv0770","CERT",1E-07,"2pgd02","NULL"
"Rv0771","LOW",0.012,"1qsaA1","NULL"
"Rv0772","CERT",8E-10,"1bncA0","b.84.2.1"
"Rv0773c","LOW",0.016,"1fohA0","c.3.1.2"
"Rv0774c","CERT",6E-07,"1qfmA2","NULL"
"Rv0775","CERT",4E-07,"2tct00","a.4.1.9"
"Rv0776c","LOW",0.039,"1a4mA0","c.1.9.1"
"Rv0777","CERT",1E-09,"1c3cA0","a.127.1.1"
"Rv0778","CERT",1E-09,"1dt6A0","a.104.1.1"
"Rv0779c","MEDIUM",0.003,"1gcuA1","NULL"
"Rv0780","CERT",3E-09,"1a4800","d.143.1.1"
"Rv0781","CERT",4E-07,"1qfmA1","NULL"
"Rv0782","CERT",3E-09,"1qfmA0","b.69.7.1"
"Rv0783c","LOW",0.057,"1a2602","NULL"
"Rv0784","HIGH",0.0005,"1ltdA1","NULL"
"Rv0785","CERT",3E-07,"1gpeA1","NULL"
"Rv0786c","LOW",0.022,"1gg4A3","NULL"
"Rv0787","GUESS",0.135,"1jtgB0","d.98.1.1"
"Rv0788","LOW",0.074,"1bkb02","NULL"
"Rv0788","CERT",2E-08,"1qdlB0","c.23.16.1"
"Rv0789c","MEDIUM",0.002,"1cx4A1","NULL"
"Rv0790c","LOW",0.036,"7reqB2","NULL"
"Rv0791c","CERT",1E-09,"1lucA0","c.1.16.1"
"Rv0792c","CERT",2E-05,"1e2xA0","a.4.5.6"
"Rv0793","LOW",0.031,"1c4kA3","NULL"
"Rv0794c","CERT",6E-10,"1lvl00","c.3.1.5"
"Rv0795","MEDIUM",0.007,"1aihA0","d.163.1.1"
"Rv0796","CERT",7E-05,"1cxqA0","NULL"
"Rv0797","MEDIUM",0.003,"1e2xA0","a.4.5.6"
"Rv0798c","MEDIUM",0.005,"1ivhA2","NULL"
"Rv0799c","LOW",0.021,"1byuA0","c.37.1.8"
"Rv0800","CERT",0.0001,"1bi5A0","c.95.1.2"
"Rv0801","CERT",2E-05,"1ecsA0","d.32.1.2"
"Rv0802c","CERT",3E-05,"1qsmA0","d.108.1.1"
"Rv0803","HIGH",0.0004,"1dtwA1","NULL"
"Rv0804","MEDIUM",0.001,"1f06A1","NULL"
"Rv0805","CERT",2E-08,"1uteA0","d.159.1.1"
"Rv0806c","MEDIUM",0.002,"1qtrA0","c.69.1.7"
"Rv0807","LOW",0.021,"2mcm00","b.1.7.1"
"Rv0808","CERT",4E-10,"1ecfB0","c.61.1.1"
"Rv0809","MEDIUM",0.005,"1d3gA0","c.1.4.1"
"Rv0810c","GUESS",0.178,"1d5yA2","NULL"
"Rv0811c","MEDIUM",0.002,"1fnoA0","c.56.5.4"
"Rv0812","CERT",6E-08,"1a3gA0","e.17.1.1"
"Rv0813c","LOW",0.038,"1a0tP0","f.4.3.2"
"Rv0814c","MEDIUM",0.005,"1cwvA1","NULL"
"Rv0815c","CERT",2E-08,"1e0cA0","c.46.1.2"
"Rv0816c","HIGH",0.0002,"1bjx00","NULL"
"Rv0817c","LOW",0.038,"1bi000","a.4.5.24"
"Rv0818","CERT",9E-07,"1a04A0","a.4.6.2"
"Rv0819","CERT",5E-06,"1qsmA0","d.108.1.1"
"Rv0820","CERT",1E-08,"1gajA0","c.37.1.12"
"Rv0821c","HIGH",0.0004,"2tct00","a.4.1.9"
"Rv0822c","MEDIUM",0.002,"1cwvA0","b.1.14.1"
"Rv0823c","CERT",1E-08,"1d3gA0","c.1.4.1"
"Rv0822c","HIGH",0.0003,"1dpsA0","a.25.1.1"
"Rv0825c","CERT",5E-07,"2tct00","a.4.1.9"
"Rv0826","HIGH",0.0006,"1c4xA0","c.69.1.10"
"Rv0827c","CERT",3E-05,"1bjaA0","a.4.5.9"
"Rv0828c","GUESS",0.182,"2tct01","NULL"
"Rv0829","GUESS",0.244,"1ajj00","g.12.1.1"
"Rv0830","HIGH",0.0002,"1fp2A2","NULL"
"Rv0831c","GUESS",0.119,"1a0aA0","a.38.1.1"
"Rv0832","LOW",0.072,"1ip9A0","d.15.2.2"
"Rv0833","HIGH",0.0008,"1gci00","c.41.1.1"
"Rv0834c","CERT",6E-05,"1io1A0","e.32.1.1"
"Rv0835","MEDIUM",0.006,"1im4A0","e.8.1.7"
"Rv0836c","MEDIUM",0.006,"1dqyA0","c.69.1.3"
"Rv0837c","HIGH",0.0008,"1e2xA0","a.4.5.6"
"Rv0838","LOW",0.016,"1cydA0","c.2.1.2"
"Rv0839","CERT",7E-07,"1dusA0","c.66.1.4"
"Rv0840c","CERT",2E-08,"1bn6A0","c.69.1.8"
"Rv0841c","LOW",0.021,"1itbB0","b.1.1.4"
"Rv0842","MEDIUM",0.004,"1fp2A2","NULL"
"Rv0843","CERT",2E-09,"1dtwA1","NULL"
"Rv0844c","CERT",5E-09,"1a04A0","a.4.6.2"
"Rv0845","CERT",2E-07,"1gkxA0","a.29.5.1"
"Rv0846c","CERT",3E-09,"1a65A0","b.6.1.3"
"Rv0847","GUESS",0.134,"2tgi00","g.17.1.2"
"Rv0848","CERT",9E-09,"1f2dA0","c.79.1.1"
"Rv0849","MEDIUM",0.005,"1uby00","a.128.1.1"
"Rv0850","GUESS",0.167,"8fabA2","NULL"
"Rv0851c","CERT",4E-09,"1cydA0","c.2.1.2"
"Rv0852","LOW",0.014,"1mpyA1","NULL"
"Rv0853c","CERT",1E-09,"1bfd00","c.31.1.3"
"Rv0854","LOW",0.061,"1cz4A0","b.52.2.3"
"Rv0855","LOW",0.083,"1mla02","NULL"
"Rv0856","LOW",0.015,"1gdhA2","NULL"
"Rv0857","LOW",0.022,"1mjhA0","c.26.2.4"
"Rv0858c","CERT",7E-10,"1bjwA0","c.67.1.1"
"Rv0859","CERT",9E-09,"1qflA1","NULL"
"Rv0860","CERT",1E-07,"1f0yA2","NULL"
"Rv0861c","CERT",8E-08,"1d2mA0","c.37.1.19"
"Rv0862c","MEDIUM",0.001,"1bfd00","c.31.1.3"
"Rv0863","GUESS",0.262,"1qpxA2","NULL"
"Rv0864","MEDIUM",0.009,"1c3qA0","c.72.1.2"
"Rv0865","HIGH",0.0001,"1g8lA0","b.85.6.1"
"Rv0866","CERT",3E-07,"1fmaE0","d.41.5.1"
"Rv0867c","MEDIUM",0.002,"1bi000","a.4.5.24"
"Rv0868c","HIGH",0.0004,"1fmaD0","d.15.3.1"
"Rv0869c","HIGH",0.0001,"1f0xA2","NULL"
"Rv0870c","LOW",0.024,"1dssG2","NULL"
"Rv0871","MEDIUM",0.001,"1mjc00","b.40.4.5"
