snp-dists 0.8.2	NC_009497	227	GCA_018594715	GCA_029989345	GCA_001929505	SRR10958111	243-B21	GCA_009857975	GCA_009850655	GCA_018591955	GCA_018593635	SRR10958115	GCA_018591875	GCA_018593955	GCA_018593495	GCA_018594075	GCA_009851735	SRR10958113	GCA_020423375	GCA_018592115	GCA_018591815	GCA_029536715	SRR10958193	GCA_003354265	240	GCA_009850125	GCA_009849885	GCA_016453825	GB000944	GCA_018592295	GCA_018594215	222A	SRR17119145	234	GCA_018593675	GCA_016452465	GCA_018593735	GCA_018593745	GCA_020422985	GCA_018591855	SRR10958101	GCA_018594415	GCA_009850225	GCA_000219375	GCA_029855505	GCA_018593195	GCA_018592415	GCA_018592085	GCA_009850275	GCA_018594025	GCA_009850905	223	GCA_016452865	GCA_018592055	GCA_016453185	GCA_013423725	228	GCA_016452745	SCOT3	GCA_009850255	GCA_018592555	GCA_018594295	GCA_009850175	SRR10958130	GCA_016453325	245	GCA_018591835	SRR20305655	GCA_018591965	GCA_018591995	GCA_016453045	GCA_029989505	SCOT2	GCA_016452845	SRR20305624	GCA_011996525	GCA_009850405	GCA_009851565	GCA_018592175	SRR12686435	GCA_009849005	GCA_009852155	GCA_018593615	GB18000923	GCA_009156025	230-B21	SRR12673179	GCA_029855745	GCA_009849495	GCA_009850305	GCA_009850365	GCA_009849845	GCA_018592815	GCA_029855765	GCA_009848995	GCA_001930225	GCA_020423725	SRR3954761	SRR3954835	GCA_018592155	SCOT4	GCA_009849055	221	GCA_009851965	SRR12673135	224	241	GB18001319	SCOT1	SRR17119177	GCA_003354305	GCA_000183385	GCA_016453545	GCA_009850185	GCA_018593515	GCA_009850755	GCA_009850065	SRR12674172	GCA_003354425	GCA_018592275	GCA_009851545	226-B21	GCA_009848695	GCA_018593395	GCA_016452505	GCA_018594125	SRR17119126	GCA_029855805	229-B21	GCA_009849465	GCA_009848775	GB17005644	GCA_018593755	GCA_009850675	GCA_009852305	GCA_003354285	GCA_009851715	GCA_018593965	224B21	GCA_029855485	GCA_018593995
GB000944	45458	1311	1707	3074	2622	4242	1083	7589	6912	1668	2997	41	2314	2179	1950	3766	5335	22	1238	2318	3350	3316	43	3152	30	3232	5344	1396	0	3328	2520	54	2456	17	4589	2617	3097	3821	1575	3168	1204	5316	3570	3624	1671	3330	1672	3711	3036	2844	2825	28	3220	3833	1977	3056	35	1404	68	2114	2033	2548	3137	27	1980	1082	1944	3017	3156	3089	1524	30	68	1114	3007	3843	6508	5156	3127	1060	6203	2968	3111	25	3028	23	1037	3440	9353	1543	3794	3465	2894	1018	3644	1718	1249	3589	3666	2442	36	4509	19	3629	1036	83	1159	1185	30	2590	1947	4145	3109	3961	1594	6803	3338	1039	3629	2457	3106	32	2484	3277	1721	3898	3849	3346	24	8113	4654	24	2152	9252	2807	2188	4775	1903	25	41	2027
GCA_018592295	45714	2879	2250	4672	1733	5715	2903	8022	7499	2429	1304	3306	2484	1696	2233	1114	3256	3316	3116	1525	4649	729	3314	4748	3325	1207	4161	3246	3328	0	1779	3357	2244	3262	4903	3427	1308	3197	3294	1689	3013	4346	558	540	3245	1085	2278	2840	4915	2484	4118	3326	3986	5390	3106	2569	3335	2902	3357	2625	2019	3020	1285	3317	2060	2902	1961	4648	1503	2748	3112	3323	3356	2754	4606	1737	7119	5059	1488	2888	5989	1188	1407	3328	4662	3321	2868	4744	8992	2993	4997	2479	2585	2841	595	2333	3020	504	538	1903	3321	2096	3327	898	2867	3326	2741	2735	3319	1559	1809	5613	3940	1862	2435	7596	3696	2863	1039	2251	1518	3344	1460	3053	3220	3133	1743	4879	3322	8311	2747	3330	1803	8867	1350	1744	4948	2122	3323	3314	2103
GCA_018594215	45506	2353	1664	3908	1191	5000	2159	7683	7158	1857	1485	2452	2051	1846	1390	2060	4317	2505	2374	1263	4181	1822	2460	4084	2527	1879	5120	2413	2520	1779	0	2548	1631	2474	4660	3069	1407	2854	2670	2470	2398	4562	1777	1766	2512	2169	1909	3576	4193	1982	3631	2516	3690	4746	2396	2629	2538	2230	2545	2230	1432	2637	1820	2505	1361	2158	1870	3899	1734	2694	2638	2510	2545	2067	3869	2597	6842	4703	1739	2161	5988	2070	2269	2518	3909	2513	2138	4266	9336	2392	4559	2055	2752	2113	1820	1858	2388	1745	1785	1461	2511	3137	2525	2187	2137	2501	2112	2076	2508	1972	1898	4898	3615	2071	1721	7251	3459	2134	2195	1638	1803	2528	1433	3141	2607	2860	2603	4362	2514	8010	3468	2527	1391	9219	1733	2233	4640	1291	2515	2517	1380
222A	45481	1345	1738	3102	2649	4277	1119	7610	6941	1704	3024	78	2341	2214	1986	3793	5361	59	1274	2345	3376	3344	80	3185	66	3258	5370	1425	54	3357	2548	0	2485	53	4615	2626	3124	3846	1611	3195	1240	5349	3598	3651	1704	3357	1708	3738	3068	2872	2848	65	3237	3865	2001	3085	71	1438	105	2147	2060	2574	3164	64	2009	1118	1980	3047	3184	3118	1546	67	105	1150	3036	3873	6540	5182	3155	1096	6231	2996	3147	62	3057	60	1073	3469	9382	1578	3829	3501	2926	1054	3675	1749	1284	3618	3694	2469	72	4538	55	3657	1072	120	1188	1216	67	2619	1984	4182	3125	3985	1630	6830	3363	1075	3656	2485	3134	72	2520	3311	1737	3925	3879	3382	61	8143	4677	60	2179	9285	2835	2216	4801	1939	62	78	2061
SRR17119145	45630	2338	1471	4010	1642	5005	2272	7703	7008	1504	1967	2430	2194	1731	1404	2410	4286	2443	2581	1396	4067	2003	2440	3987	2468	2216	5103	2484	2456	2244	1631	2485	0	2390	4997	3251	1827	3173	2766	2220	2335	4578	2159	2180	2592	2717	1970	2973	4208	1882	3599	2454	3703	4771	2589	2503	2463	2406	2481	2253	1320	2886	2090	2440	1641	2271	1615	3998	2013	2897	2832	2447	2481	2296	3985	2563	6675	5269	1995	2250	6329	2431	2241	2455	4006	2450	2229	4152	9378	2276	4518	2989	2460	2153	2238	2111	2333	2161	2196	1510	2448	3292	2456	2538	2228	2441	2183	2164	2445	2118	1883	4899	3630	2424	1597	7163	3163	2225	2679	0	1909	2474	1786	2734	2753	3026	2569	4244	2451	8042	3506	2458	1369	9244	1700	2664	4932	1328	2452	2432	1390
234	45379	1244	1641	3055	2556	4218	1017	7495	6815	1603	2931	44	2272	2139	1883	3694	5269	25	1173	2252	3330	3244	46	3124	29	3166	5301	1341	17	3262	2474	53	2390	0	4521	2559	3028	3810	1510	3102	1138	5272	3500	3553	1605	3260	1607	3683	3035	2778	2807	31	3180	3777	1968	2984	25	1341	69	2061	1967	2483	3067	30	1931	1016	1879	2999	3111	3060	1443	33	69	1049	2988	3777	6405	5087	3083	995	6095	2897	3096	28	3028	26	972	3421	9226	1478	3764	3395	2847	953	3573	1653	1184	3519	3594	2397	39	4438	17	3557	971	86	1092	1118	33	2524	1882	4121	3075	3892	1527	6723	3308	974	3559	2390	3026	35	2423	3211	1675	3829	3783	3316	27	7997	4582	23	2086	9131	2735	2123	4668	1837	28	43	1960
GCA_018593675	45285	4720	5010	5064	4483	5410	4759	8049	7523	4820	5172	4567	4360	4743	5184	5279	6586	4579	4778	4849	5118	5087	4574	5123	4596	5362	3038	4370	4589	4903	4660	4615	4997	4521	0	4145	5300	3454	4781	5271	4916	2971	5178	5194	5046	4946	4884	5329	5095	4063	4208	4595	4129	4997	4294	4291	4597	4185	4618	4416	5034	3507	5558	4573	4163	4758	5020	5042	4804	4440	3958	4582	4619	4671	5020	5051	7424	1472	4778	4759	6718	5435	5523	4586	5045	4577	4740	5223	9363	4820	5000	3703	4176	4688	5197	4711	4659	5099	5151	5042	4569	5867	4600	5271	4739	4581	4581	4618	4582	5047	4790	5324	4055	5130	5064	7124	5235	4739	4997	5003	4738	4593	4843	3750	3848	3462	5060	5348	4589	8106	6410	4593	4977	9226	5068	5229	6544	5011	4588	4568	4849
GCA_016452465	28474	2680	2851	2857	3070	3343	2629	5499	5123	2708	3390	2571	2850	2848	3017	3613	4474	2575	2699	3002	2936	3319	2588	2205	2609	3471	4181	2602	2617	3427	3069	2626	3251	2559	4145	0	3426	3727	2575	3384	2624	4026	3524	3549	2950	3652	2971	3418	2864	3257	2413	2624	1114	2639	2499	3229	2632	2394	2608	2816	2983	3282	3384	2573	2629	2629	2856	2791	3224	3448	1628	2578	2608	2694	2784	3507	5206	4531	3231	2664	4866	3480	3526	2585	2798	2569	2645	2972	6630	2715	1777	3260	3491	2579	3590	2975	2778	3544	3554	3123	2576	4169	2622	3736	2644	2593	2573	2582	2573	3077	2950	3282	1041	3274	2963	5122	2191	2634	3760	3251	3223	2621	3112	3677	2368	4113	3521	2067	2578	5871	4111	2627	2939	6572	2977	3015	4191	2940	2576	2578	3022
GCA_018593735	45537	2431	1791	4392	1523	5188	2475	8002	7327	2074	669	3069	2126	1812	1468	987	3423	3082	2648	1355	4399	1175	3077	4388	3100	1420	4721	2734	3097	1308	1407	3124	1827	3028	5300	3426	0	3217	2989	1696	2529	4904	986	938	2817	1460	2105	2599	4504	2213	3880	3093	3893	5034	2639	2585	3115	2527	3125	2353	1461	3129	688	3083	1789	2474	1874	4377	1924	2951	3040	3086	3126	2375	4358	2009	7139	5290	1815	2463	6284	1210	1387	3095	4386	3090	2443	4486	8967	2429	4811	2750	2690	2418	972	2197	2786	912	935	1487	3092	2102	3096	1324	2442	3082	2355	2324	3078	2091	2263	5085	3853	2334	1800	7579	3625	2433	1607	1834	1585	3113	1892	3360	2898	3128	2015	4633	3090	8294	2452	3097	1533	8831	1306	1805	4772	1374	3091	3088	1590
GCA_018593745	45583	3655	3141	4581	2531	5556	3858	8064	7625	3336	3284	3799	3397	3257	3081	3233	5030	3812	4000	2640	4849	3147	3806	4764	3815	3452	2669	3777	3821	3197	2854	3846	3173	3810	3454	3727	3217	0	4252	3553	3826	2504	3174	3182	4204	3381	3491	4129	4808	2444	4190	3841	4168	5074	3513	3337	3831	3501	3851	3435	2727	2338	3632	3816	2696	3857	3327	4561	3126	3584	3700	3816	3852	3759	4542	3584	7243	3838	3128	3858	6172	3840	3471	3819	4567	3808	3835	4946	9441	3784	5146	2567	3633	3796	3225	3229	4020	3151	3184	2862	3810	4476	3826	3578	3834	3829	3709	3706	3814	3562	3271	5465	4113	3480	3337	7363	4232	3836	3563	3180	3200	3836	2814	3219	3461	3379	3590	5368	3820	8072	4866	3823	2886	9310	3209	4023	5700	2956	3819	3805	2670
GCA_020422985	45577	1010	1809	3090	2781	4077	665	7641	6924	1830	2786	1546	1753	2295	1712	3651	5440	1560	1084	2550	3312	3424	1558	3201	1592	3340	5384	1395	1575	3294	2670	1611	2766	1510	4781	2575	2989	4252	0	3465	905	5296	3675	3750	1322	3401	2089	3816	2997	2921	2710	1572	3283	3993	1858	3311	1588	1026	1593	1609	2081	2782	2984	1560	1962	664	1597	3058	3585	3394	2223	1569	1593	733	3024	3831	6799	5154	3496	636	6283	3402	3363	1573	3071	1574	621	3387	9380	1257	3845	3313	3391	601	3762	1964	1255	3698	3773	2569	1556	4632	1581	3806	620	1537	830	819	1563	2281	2142	3979	3142	3864	1356	6938	3418	622	3885	2766	2941	1590	2709	3674	1342	3996	3833	3240	1575	8141	4643	1583	2426	9259	2818	1730	5233	1679	1564	1571	2232
GCA_018591855	45620	3366	2308	3884	1582	5391	3433	7934	7329	2688	1717	3138	2996	2296	2373	1883	3805	3154	3417	1684	3861	1898	3151	4749	3171	1828	4043	3531	3168	1689	2470	3195	2220	3102	5271	3384	1696	3553	3465	0	3464	4383	1686	1663	3714	2433	2393	1572	4090	2039	3365	3183	3883	4949	3367	3383	3174	3286	3197	3291	1888	3869	1653	3155	2570	3432	2354	3856	2307	2188	3060	3158	3198	3278	3840	1041	6887	5502	2189	3409	6521	1691	2007	3167	3864	3161	3396	3948	9046	3318	4857	3007	3068	3371	1697	2443	3294	1636	1662	1645	3164	2887	3167	1907	3395	3166	3266	3255	3155	2476	2775	5296	3846	2628	2646	7498	3447	3392	2116	2227	1908	3185	2185	3387	3050	3732	1042	4977	3161	8340	3163	3169	1981	8909	2114	2780	4866	2254	3162	3151	2526
SRR10958101	45587	596	1363	3365	2576	4183	408	7768	6891	1373	2388	1180	1947	1811	1303	3297	5245	1189	591	2088	3555	3071	1186	3221	1210	2844	5606	1190	1204	3013	2398	1240	2335	1138	4916	2624	2529	3826	905	3464	0	5460	3322	3395	1063	2937	1676	4081	3264	2759	2946	1201	3285	4071	1604	2991	1224	962	1226	1721	1617	2511	2520	1192	1739	407	1134	3332	3378	3272	2031	1197	1226	470	3319	3765	6888	5181	3294	384	6099	3049	2976	1202	3338	1203	361	3621	9346	629	3916	3478	2840	344	3407	1743	895	3343	3419	2029	1197	4291	1203	3441	360	1177	547	562	1192	2040	1641	4077	3193	3667	958	6955	3214	363	3534	2335	2886	1221	2251	3246	1466	3524	3766	3278	1204	8156	4322	1205	2017	9223	2465	1471	4981	1281	1204	1200	1813
GCA_018594415	45537	5303	4926	4810	4226	5434	5475	7925	7735	4980	4914	5280	4851	4437	4967	4377	5949	5305	5472	4409	4625	4419	5289	5130	5316	4711	1098	5119	5316	4346	4562	5349	4578	5272	2971	4026	4904	2504	5296	4383	5460	0	4462	4461	5517	4785	5144	4603	4923	3592	4057	5320	4020	5268	4677	4450	5312	4777	5335	4939	4691	3680	4868	5302	4121	5474	4733	4785	4060	4210	4180	5310	5335	5381	4760	4267	7266	3909	4131	5481	6638	4965	4499	5313	4782	5303	5463	4741	9426	5309	4861	3572	4190	5383	4491	4899	5312	4374	4416	4552	5309	5441	5321	4675	5462	5301	5285	5313	5304	4510	4667	5342	3968	4095	5097	7342	4302	5454	4608	4585	3964	5321	4333	2747	4347	4793	4276	5249	5316	8065	5700	5318	4613	9313	4307	5484	6184	4808	5315	5284	4626
GCA_009850225	45722	3164	2274	4712	1766	5758	3272	8055	7483	2489	1236	3545	2740	1801	2265	765	2914	3556	3424	1691	4684	393	3555	4824	3567	1079	4246	3377	3570	558	1777	3598	2159	3500	5178	3524	986	3174	3675	1686	3322	4462	0	146	3618	1165	2498	2693	4991	2432	4197	3566	4082	5459	3291	2514	3577	3149	3601	2938	1999	3274	982	3561	2061	3271	2229	4692	1190	2599	3246	3562	3601	3125	4647	1765	7117	5317	1132	3263	5991	869	1212	3568	4700	3563	3243	4786	9001	3186	5124	2559	2618	3216	203	2537	3408	123	145	1935	3566	1722	3569	546	3242	3565	3114	3083	3554	1873	1711	5656	4053	1545	2622	7592	3677	3232	871	2166	1304	3585	1512	3085	3485	3272	1771	5003	3564	8329	2367	3571	1798	8870	1087	2068	4858	2153	3565	3551	2033
GCA_000219375	45694	3259	2339	4741	1709	5784	3344	7983	7453	2551	1193	3599	2715	1865	2301	716	2870	3610	3481	1675	4715	336	3608	4874	3620	1062	4263	3427	3624	540	1766	3651	2180	3553	5194	3549	938	3182	3750	1663	3395	4461	146	0	3693	1197	2502	2639	5039	2491	4224	3620	4117	5499	3333	2569	3629	3182	3654	2881	2046	3315	1000	3615	2068	3343	2295	4720	1198	2525	3263	3615	3655	3199	4675	1738	7040	5336	1136	3338	5995	794	1144	3622	4729	3617	3318	4813	8937	3236	5190	2511	2614	3290	111	2599	3463	59	72	1913	3621	1644	3623	468	3317	3618	3209	3178	3607	1910	1803	5682	4079	1498	2658	7583	3698	3307	841	2187	1257	3638	1453	3075	3532	3264	1745	5048	3617	8312	2285	3624	1833	8803	1106	2134	4745	2192	3618	3605	2047
GCA_029855505	45635	1210	1673	3928	2864	4576	818	7539	6845	1871	2635	1644	2299	2169	1578	3575	5494	1656	1196	2377	4074	3361	1653	3477	1679	3277	5691	1538	1671	3245	2512	1704	2592	1605	5046	2950	2817	4204	1322	3714	1063	5517	3618	3693	0	3421	2129	4319	3827	2846	3481	1667	3500	4349	1895	3321	1691	1283	1688	2099	1911	2742	2814	1652	1868	817	1437	3900	3590	3902	2309	1663	1688	897	3889	3997	6749	5345	3465	789	6543	3437	3354	1669	3905	1663	766	4153	9045	1352	4168	3632	2991	727	3708	1969	1347	3614	3685	2378	1661	4474	1676	3762	765	1640	949	939	1659	2314	2202	4469	3398	3801	1328	6915	3799	768	3927	2592	3140	1688	2597	3422	1838	3789	3997	3664	1664	7735	4292	1678	2247	8910	2760	1799	4931	1537	1665	1662	2115
GCA_018593195	45757	2859	2582	4872	2198	5819	2967	8127	7594	2797	1559	3305	2577	2180	2561	1761	3764	3316	3080	2040	4838	1419	3314	4799	3327	1661	4573	3101	3330	1085	2169	3357	2717	3260	4946	3652	1460	3381	3401	2433	2937	4785	1165	1197	3421	0	2453	3431	4937	2602	4182	3326	4115	5413	3322	2947	3346	2930	3360	2720	2297	2948	1685	3322	2274	2966	2584	4849	2011	2844	3217	3323	3361	2813	4810	2184	7216	5072	1997	2951	6210	1513	1942	3328	4861	3329	2931	4945	9035	2992	5155	2839	2962	2901	1234	2459	3229	1173	1198	2242	3326	2250	3329	1361	2930	3324	2808	2777	3313	2091	2102	5716	4064	2509	2478	7595	4044	2920	1097	2724	1982	3344	2190	3317	3300	3315	2191	4776	3329	8338	3315	3324	2325	8902	1869	2120	5387	2448	3330	3316	2452
GCA_018592415	45420	1741	1183	3982	1686	4925	1595	7878	7144	1138	2246	1650	1904	1607	1382	2670	4607	1654	1694	1169	4189	2379	1656	4188	1676	2278	5332	1948	1672	2278	1909	1708	1970	1607	4884	2971	2105	3491	2089	2393	1676	5144	2498	2502	2129	2453	0	3173	4049	2426	3575	1669	3568	4412	2421	2626	1692	1726	1691	1950	1467	2378	2374	1659	1658	1594	1476	3956	2549	3031	2254	1666	1691	1472	3945	3100	6761	5080	2458	1574	6325	2266	2403	1671	3967	1671	1551	4285	9398	1875	4384	2777	2513	1534	2530	1467	1774	2488	2548	1561	1664	3417	1671	2593	1550	1642	1703	1695	1660	2441	1392	4820	3447	2858	1186	7348	4031	1547	2600	1970	2454	1690	1624	2543	2317	3341	3108	3800	1672	8121	3954	1674	1501	9255	2058	2365	4815	1315	1673	1667	1343
GCA_018592085	45722	3791	3531	3353	2657	5095	4154	7821	7196	3278	2803	3682	2869	3332	3538	2837	4498	3693	3992	2767	3463	2845	3693	4539	3702	2913	4227	4066	3711	2840	3576	3738	2973	3683	5329	3418	2599	4129	3816	1572	4081	4603	2693	2639	4319	3431	3173	0	3701	3028	2949	3726	3707	4498	3674	3922	3711	3582	3732	3433	3189	4656	2785	3697	3319	4153	3590	3344	3246	2764	3397	3701	3733	4019	3338	2511	6923	5880	3225	4133	6826	2750	3079	3710	3334	3704	4122	3529	9013	3732	4571	3746	3579	4036	2695	3301	4004	2595	2624	2878	3696	3729	3710	2968	4121	3704	3928	3947	3698	3768	3718	5003	3664	3351	3734	7305	3701	4126	3214	2980	2723	3728	3229	4021	3170	4604	2517	4681	3704	8298	3548	3714	3136	8889	3103	3643	5199	3371	3703	3688	3540
GCA_009850275	45231	3186	3565	963	3652	2834	3509	6987	6521	3608	4387	2998	3716	3771	3755	5049	6156	3020	3259	4043	1144	4742	3006	2367	3040	4928	5114	2866	3036	4915	4193	3068	4208	3035	5095	2864	4504	4808	2997	4090	3264	4923	4991	5039	3827	4937	4049	3701	0	3811	213	3030	2846	3269	2581	4316	3048	3005	3061	3862	3661	4331	4594	3020	3378	3508	3659	876	4416	3876	2802	3027	3061	3536	872	4670	6573	5548	4446	3522	6551	4892	4994	3035	884	3028	3506	1219	9174	3247	3287	4869	4605	3481	4951	3296	3099	4956	5014	3952	3014	5914	3035	5208	3505	3065	3274	3309	3015	4228	4143	2743	2795	4474	3735	6600	2788	3499	5303	4215	4041	3043	4530	5028	2431	5240	4670	3462	3029	8007	5532	3040	3699	9081	4145	3999	5935	3644	3029	3020	3941
GCA_018594025	45576	2602	1844	3743	1512	5020	2720	7850	7327	2097	2161	2815	2601	1897	1700	2835	4594	2829	2933	1563	3890	2360	2824	3857	2852	2657	4012	2852	2844	2484	1982	2872	1882	2778	4063	3257	2213	2444	2921	2039	2759	3592	2432	2491	2846	2602	2426	3028	3811	0	3345	2859	3631	4369	2767	2958	2861	2733	2872	2701	1300	2673	2628	2830	1696	2719	2118	3730	2397	2376	3118	2833	2873	2716	3708	2023	6787	4805	2341	2703	6421	3026	2964	2842	3737	2837	2680	3974	9435	2606	4352	2477	2882	2640	2502	2225	2894	2424	2467	1715	2839	3650	2843	2862	2679	2831	2551	2524	2831	2380	2263	4925	3589	2627	1951	7190	3348	2675	2863	1889	1964	2860	2136	2927	2576	3418	2029	4549	2837	8053	4185	2838	1675	9294	2219	2902	5334	1623	2838	2832	1840
GCA_009850905	38675	2932	3241	638	3159	2377	3196	5819	5449	3102	3685	2793	3219	3294	3383	4290	5367	2815	2766	3521	678	4140	2801	1964	2827	3898	4263	2603	2825	4118	3631	2848	3599	2807	4208	2413	3880	4190	2710	3365	2946	4057	4197	4224	3481	4182	3575	2949	213	3345	0	2818	2417	2579	2221	3807	2838	2613	2855	3375	3233	3895	3882	2820	2935	3195	3259	564	3773	3191	2368	2824	2855	3106	558	3846	5416	4630	3804	3204	5652	4083	4298	2829	569	2822	3188	752	7631	2701	2746	4154	4022	3112	4148	2853	2902	4199	4202	3405	2809	4871	2824	4393	3187	2851	2928	2960	2811	3731	3655	2325	2348	3621	3360	5884	2240	3181	4411	3606	3404	2830	3839	4244	2077	4515	3847	2904	2824	6649	4611	2829	3266	7590	3588	3528	4919	3278	2823	2821	3552
223	45417	1308	1704	3086	2637	4229	1079	7546	6866	1665	2994	53	2311	2176	1946	3762	5306	37	1235	2315	3350	3312	57	3145	43	3229	5363	1391	28	3326	2516	65	2454	31	4595	2624	3093	3841	1572	3183	1201	5320	3566	3620	1667	3326	1669	3726	3030	2859	2818	0	3214	3831	1969	3054	47	1401	83	2110	2030	2551	3133	42	1973	1078	1941	3018	3151	3090	1532	45	83	1111	3007	3851	6519	5162	3122	1057	6158	2964	3108	37	3026	38	1034	3444	9317	1540	3786	3480	2890	1014	3640	1715	1246	3586	3662	2438	51	4514	34	3625	1033	98	1156	1182	45	2587	1945	4129	3107	3944	1590	6767	3330	1036	3626	2454	3102	46	2481	3274	1734	3895	3857	3328	39	8106	4636	39	2149	9213	2803	2185	4754	1900	40	56	2024
GCA_016452865	28572	3341	3455	3003	3627	3162	3326	5551	5182	3294	3866	3186	3318	3337	3572	4042	4884	3191	3304	3590	2969	3913	3205	2051	3202	4010	4189	3038	3220	3986	3690	3237	3703	3180	4129	1114	3893	4168	3283	3883	3285	4020	4082	4117	3500	4115	3568	3707	2846	3631	2417	3214	0	2324	2788	3543	3233	2907	3222	3219	3524	3650	3969	3186	2992	3326	3395	2954	3693	3825	2096	3196	3222	3350	2954	3891	5441	4649	3705	3339	4979	4159	3957	3190	2964	3180	3320	3056	6641	3320	1100	3850	3620	3259	4140	3561	3172	4074	4089	3645	3196	4604	3222	4267	3319	3218	3230	3253	3191	3725	3595	3122	523	3447	3512	5087	2189	3309	4341	3703	3646	3222	3848	3988	2765	4520	3908	1446	3191	6053	4397	3227	3536	6587	3518	3654	4743	3487	3192	3196	3565
GCA_018592055	45091	4026	4202	3160	4448	2850	4081	7381	6912	4040	4964	3801	3985	4398	4387	5439	6759	3832	3993	4547	3263	5330	3809	1737	3837	5298	5511	3726	3833	5390	4746	3865	4771	3777	4997	2639	5034	5074	3993	4949	4071	5268	5459	5499	4349	5413	4412	4498	3269	4369	2579	3831	2324	0	3357	4799	3844	3449	3859	3800	4316	4600	5162	3826	3768	4080	4410	3077	4803	4817	3259	3837	3859	3998	3075	4921	7261	5755	4809	4109	6915	5457	5425	3837	3096	3825	4094	3349	9102	3941	2321	5224	5004	3995	5492	4219	3810	5438	5489	4553	3819	6080	3844	5623	4093	3834	3878	3895	3829	4891	4740	2751	2282	4445	4291	6650	2550	4090	5743	4779	4820	3842	5078	5337	3207	5677	4925	2720	3837	7865	5891	3849	4482	9013	4690	4659	6195	4266	3836	3830	4520
GCA_016453185	36121	1650	1934	2513	2594	3403	1501	6417	5810	1984	2464	1981	2164	2182	1861	3205	4784	1972	1579	2354	2613	3157	1997	2486	1987	3150	4842	1121	1977	3106	2396	2001	2589	1968	4294	2499	2639	3513	1858	3367	1604	4677	3291	3333	1895	3322	2421	3674	2581	2767	2221	1969	2788	3357	0	2983	1996	1316	2004	2092	1943	2686	2820	1969	1665	1500	1815	2455	3170	3316	2236	1971	2004	1489	2441	3621	5860	4526	3062	1496	5483	3356	3187	1979	2455	1970	1473	2679	8035	1487	3409	3388	3246	1444	3282	2202	1526	3287	3346	2314	1973	4121	1982	3531	1472	1966	1399	1394	1972	2639	2495	3317	2799	3316	1861	5864	2975	1473	3574	2594	2876	1992	2802	3645	1626	3486	3621	3226	1971	6909	3981	1987	2172	7952	2700	2139	4654	1822	1972	1973	2191
GCA_013423725	45623	2818	2221	4123	2541	4920	3037	7777	7237	2234	2781	3029	3112	2184	2441	2403	4623	3042	3319	2299	4251	2386	3038	4144	3053	2845	4805	3128	3056	2569	2629	3085	2503	2984	4291	3229	2585	3337	3311	3383	2991	4450	2514	2569	3321	2947	2626	3922	4316	2958	3807	3054	3543	4799	2983	0	3075	2926	3087	3265	2262	3091	2969	3041	2364	3036	2516	4096	2290	3704	3049	3048	3087	3018	4076	3640	7020	4487	2274	3020	6045	3072	2703	3055	4107	3035	3000	4345	9324	2865	4255	3096	2522	2925	2613	2648	2956	2535	2567	2643	3054	3825	3055	2956	2999	3060	2835	2812	3046	2490	2312	4814	3449	3057	2675	7220	3848	2995	3045	2508	2477	3070	2832	3299	3182	3193	3646	4118	3046	8018	4176	3057	2144	9188	2283	2996	5405	2369	3035	3049	2075
228	45412	1330	1726	3086	2639	4252	1102	7578	6908	1687	3014	60	2332	2185	1968	3772	5338	43	1259	2336	3353	3321	64	3169	47	3238	5340	1410	35	3335	2538	71	2463	25	4597	2632	3115	3831	1588	3174	1224	5312	3577	3629	1691	3346	1692	3711	3048	2861	2838	47	3233	3844	1996	3075	0	1421	87	2133	2050	2559	3141	48	1999	1101	1952	3030	3159	3095	1541	51	87	1134	3020	3850	6504	5164	3132	1080	6204	2975	3117	44	3039	44	1057	3447	9327	1556	3809	3483	2902	1038	3649	1737	1269	3595	3670	2459	56	4510	36	3636	1056	98	1179	1203	51	2597	1954	4159	3123	3966	1612	6803	3342	1059	3635	2463	3101	52	2489	3283	1737	3896	3855	3363	45	8109	4660	40	2156	9226	2813	2207	4780	1921	44	62	2045
GCA_016452745	37191	866	1596	2998	2462	3654	768	6733	6044	1608	2366	1384	1639	1986	1583	3162	4718	1394	976	2118	3170	3016	1398	2955	1414	2818	4911	938	1404	2902	2230	1438	2406	1341	4185	2394	2527	3501	1026	3286	962	4777	3149	3182	1283	2930	1726	3582	3005	2733	2613	1401	2907	3449	1316	2926	1421	0	1429	1502	1783	2345	2502	1390	1491	767	1480	2975	3055	3103	1827	1398	1429	704	2962	3520	6117	4486	3014	722	5426	2876	3013	1402	2980	1403	699	3207	8082	1179	3492	3048	2790	712	3217	1765	1205	3158	3223	2159	1397	3896	1411	3246	698	1373	875	855	1395	2218	1903	3561	2860	3381	1294	5964	3256	699	3311	2406	2702	1420	2269	3030	1119	3338	3520	2994	1404	7030	3902	1402	2075	7958	2424	1751	4419	1498	1405	1400	1937
